Frequency	56.17410278
Nucleus	Unknown
0.0	-13879.0	-12209.0
4.80007680122882e-05	5624.0	-17174.0
9.60015360245764e-05	17569.0	-1997.0
0.0001440023040368646	10059.0	16139.0
0.0001920030720491528	-11691.0	17121.0
0.000240003840061441	-19226.0	-520.0
0.0002880046080737292	-9627.0	-18351.0
0.0003360053760860174	11442.0	-13104.0
0.0003840061440983056	16161.0	4369.0
0.0004320069121105938	4579.0	18173.0
0.000480007680122882	-14620.0	9755.0
0.0005280084481351702	-16220.0	-9781.0
0.0005760092161474584	-368.0	-19042.0
0.0006240099841597466	17466.0	-7206.0
0.0006720107521720348	13594.0	10798.0
0.000720011520184323	-4297.0	18106.0
0.0007680122881966112	-17641.0	3761.0
0.0008160130562088994	-10928.0	-16199.0
0.0008640138242211876	7668.0	-16838.0
0.0009120145922334759	19646.0	-2070.0
0.000960015360245764	8124.0	15821.0
0.0010080161282580522	-10412.0	14654.0
0.0010560168962703404	-18528.0	-3657.0
0.0011040176642826286	-6276.0	-17532.0
0.0011520184322949168	12551.0	-13058.0
0.001200019200307205	18108.0	6568.0
0.0012480199683194931	1351.0	17122.0
0.0012960207363317815	-15351.0	7588.0
0.0013440215043440697	-15240.0	-9832.0
0.0013920222723563579	3201.0	-19396.0
0.001440023040368646	16987.0	-6809.0
0.0014880238083809342	14270.0	11258.0
0.0015360245763932224	-5877.0	19049.0
0.0015840253444055106	-19113.0	1412.0
0.0016320261124177988	-8953.0	-14546.0
0.001680026880430087	9574.0	-16664.0
0.0017280276484423751	18125.0	902.0
0.0017760284164546633	6786.0	17744.0
0.0018240291844669517	-10786.0	13629.0
0.0018720299524792399	-17811.0	-5289.0
0.001920030720491528	-2801.0	-19022.0
0.0019680314885038163	15101.0	-10625.0
0.0020160322565161044	14187.0	9077.0
0.0020640330245283926	808.0	16904.0
0.002112033792540681	-14515.0	7431.0
0.002160034560552969	-13010.0	-12007.0
0.002208035328565257	4194.0	-16690.0
0.0022560360965775453	18110.0	-4079.0
0.0023040368645898335	9573.0	14918.0
0.0023520376326021217	-7859.0	17042.0
0.00240003840061441	-17551.0	1942.0
0.002448039168626698	-7009.0	-17105.0
0.0024960399366389862	11442.0	-12616.0
0.0025440407046512744	16811.0	2536.0
0.002592041472663563	6051.0	18332.0
0.002640042240675851	-13398.0	11889.0
0.0026880430086881394	-17540.0	-7699.0
0.0027360437767004276	-1344.0	-18046.0
0.0027840445447127157	15425.0	-9023.0
0.002832045312725004	14667.0	9215.0
0.002880046080737292	-2914.0	16073.0
0.0029280468487495803	-16200.0	6696.0
0.0029760476167618685	-13049.0	-12819.0
0.0030240483847741566	4675.0	-19313.0
0.003072049152786445	17515.0	-2475.0
0.003120049920798733	8883.0	13583.0
0.003168050688811021	-7980.0	16128.0
0.0032160514568233094	-17464.0	-1760.0
0.0032640522248355975	-4501.0	-14718.0
0.0033120529928478857	12379.0	-13595.0
0.003360053760860174	17765.0	5241.0
0.003408054528872462	1864.0	16438.0
0.0034560552968847503	-13020.0	10823.0
0.0035040560648970384	-14659.0	-8034.0
0.0035520568329093266	-895.0	-18101.0
0.0036000576009216152	16379.0	-7081.0
0.0036480583689339034	12703.0	10886.0
0.0036960591369461916	-3684.0	16297.0
0.0037440599049584798	-17492.0	4231.0
0.003792060672970768	-11032.0	-14565.0
0.003840061440983056	5292.0	-14349.0
0.0038880622089953443	18074.0	318.0
0.0039360629770076325	6572.0	16834.0
0.00398406374501992	-11604.0	13642.0
0.004032064513032209	-17445.0	-4760.0
0.004080065281044497	-2693.0	-18191.0
0.004128066049056785	11758.0	-10634.0
0.004176066817069074	16312.0	6675.0
0.004224067585081362	559.0	18903.0
0.00427206835309365	-17098.0	8878.0
0.004320069121105938	-14703.0	-10698.0
0.0043680698891182266	3094.0	-16456.0
0.004416070657130514	17519.0	-5430.0
0.004464071425142803	9186.0	14465.0
0.004512072193155091	-7654.0	15562.0
0.004560072961167379	-16902.0	2775.0
0.004608073729179667	-7988.0	-15595.0
0.004656074497191956	10428.0	-15123.0
0.004704075265204243	16971.0	2358.0
0.004752076033216532	5881.0	15385.0
0.00480007680122882	-11121.0	12072.0
0.004848077569241108	-17703.0	-6077.0
0.004896078337253396	-1541.0	-18168.0
0.004944079105265685	13347.0	-9278.0
0.0049920798732779725	14717.0	9747.0
0.005040080641290261	-2534.0	17879.0
0.005088081409302549	-16042.0	5939.0
0.0051360821773148374	-14657.0	-11338.0
0.005184082945327126	4794.0	-16976.0
0.005232083713339414	16474.0	-4573.0
0.005280084481351702	11217.0	15343.0
0.00532808524936399	-8016.0	16062.0
0.005376086017376279	-18139.0	-829.0
0.0054240867853885665	-6061.0	-16353.0
0.005472087553400855	10583.0	-13692.0
0.005520088321413143	17458.0	4730.0
0.0055680890894254315	3120.0	17870.0
0.005616089857437719	-12932.0	10234.0
0.005664090625450008	-15277.0	-8543.0
0.005712091393462296	-665.0	-18024.0
0.005760092161474584	15043.0	-6067.0
0.005808092929486872	13328.0	9922.0
0.005856093697499161	-3207.0	19097.0
0.005904094465511448	-16113.0	5480.0
0.005952095233523737	-10596.0	-13975.0
0.006000096001536025	7069.0	-15033.0
0.006048096769548313	17727.0	-1251.0
0.006096097537560601	8305.0	17841.0
0.00614409830557289	-11244.0	13538.0
0.006192099073585178	-17813.0	6.0
0.006240099841597466	-5993.0	-14054.0
0.006288100609609755	13475.0	-13510.0
0.006336101377622042	15373.0	5242.0
0.006384102145634331	2847.0	17540.0
0.006432102913646619	-16319.0	8906.0
0.006480103681658907	-14460.0	-9947.0
0.006528104449671195	1442.0	-16871.0
0.006576105217683484	16527.0	-6090.0
0.0066241059856957715	13567.0	11601.0
0.00667210675370806	-5402.0	16561.0
0.006720107521720348	-14876.0	4847.0
0.006768108289732636	-10465.0	-14630.0
0.006816109057744924	8299.0	-14001.0
0.006864109825757213	16792.0	98.0
0.0069121105937695005	4274.0	15757.0
0.006960111361781789	-10608.0	13531.0
0.007008112129794077	-17985.0	-4320.0
0.0070561128978063655	-4994.0	-15956.0
0.007104113665818653	12638.0	-9157.0
0.007152114433830942	14099.0	8625.0
0.0072001152018432305	658.0	15115.0
0.007248115969855518	-15767.0	7804.0
0.007296116737867807	-12510.0	-10576.0
0.007344117505880095	5056.0	-16666.0
0.007392118273892383	17048.0	-4173.0
0.007440119041904671	12167.0	13236.0
0.0074881198099169596	-7565.0	17125.0
0.007536120577929247	-16400.0	464.0
0.007584121345941536	-8446.0	-14450.0
0.007632122113953824	10837.0	-15326.0
0.007680122881966112	15426.0	2771.0
0.0077281236499784	6028.0	16688.0
0.007776124417990689	-13926.0	12853.0
0.007824125186002976	-15293.0	-4247.0
0.007872125954015265	-1658.0	-15112.0
0.007920126722027554	14859.0	-9830.0
0.00796812749003984	13022.0	10273.0
0.008016128258052129	-1719.0	16743.0
0.008064129026064418	-19463.0	6316.0
0.008112129794076706	-12548.0	-10734.0
0.008160130562088993	4915.0	-15523.0
0.008208131330101282	16863.0	-613.0
0.00825613209811357	8838.0	11713.0
0.008304132866125859	-8483.0	16392.0
0.008352133634138148	-16573.0	-1087.0
0.008400134402150435	-7920.0	-16299.0
0.008448135170162723	9959.0	-13645.0
0.008496135938175012	16940.0	4064.0
0.0085441367061873	1582.0	15858.0
0.008592137474199587	-12536.0	8733.0
0.008640138242211876	-15494.0	-8434.0
0.008688139010224165	746.0	-17037.0
0.008736139778236453	15814.0	-5771.0
0.00878414054624874	13070.0	10676.0
0.008832141314261029	-2526.0	16803.0
0.008880142082273317	-14659.0	3246.0
0.008928142850285606	-11014.0	-11796.0
0.008976143618297893	4445.0	-14185.0
0.009024144386310181	16806.0	106.0
0.00907214515432247	6761.0	14428.0
0.009120145922334759	-9672.0	12229.0
0.009168146690347045	-16098.0	-2423.0
0.009216147458359334	-4304.0	-16037.0
0.009264148226371623	13141.0	-9988.0
0.009312148994383911	16387.0	4594.0
0.0093601497623962	1170.0	16115.0
0.009408150530408487	-15419.0	7373.0
0.009456151298420775	-12203.0	-9374.0
0.009504152066433064	3036.0	-15266.0
0.009552152834445353	16198.0	-6531.0
0.00960015360245764	11275.0	9218.0
0.009648154370469928	-5618.0	14876.0
0.009696155138482217	-15136.0	1184.0
0.009744155906494505	-7134.0	-12648.0
0.009792156674506792	8589.0	-14419.0
